,Time Interval,Pkts number,Avg pkts interval,Avg pkts size,Inbound pkts,Outbound pkts,In pkts interval,Out pkts interval,In pkts size,Out pkts size,Person
396,198.0s - 198.5s,101,0.0049652890891089116,1026.5643564356435,36,65,0.01317078497142867,0.007480272781250186,844.9444444444445,1127.1538461538462,0
397,198.5s - 199.0s,135,0.003704644192592592,1170.4814814814815,69,66,0.007198427294117865,0.007534756692307645,1199.9130434782608,1139.7121212121212,0
398,199.0s - 199.5s,151,0.003314480264900661,1190.2516556291391,87,64,0.005707971499999811,0.006679547603174533,1251.1264367816093,1107.5,0
399,199.5s - 200.0s,170,0.0029450729705882356,1149.0941176470587,105,65,0.004718516759615509,0.007361641640625027,1201.3619047619047,1064.6615384615384,0
400,200.0s - 200.5s,110,0.004542503881818181,1031.590909090909,39,71,0.01288560307894739,0.006720329614285804,928.2307692307693,1088.3661971830986,0
401,200.5s - 201.0s,90,0.005565578211111111,1071.0666666666666,25,65,0.0171084214999991,0.007495534671875248,880.08,1144.5230769230768,0
402,201.0s - 201.5s,89,0.005617415415730337,1042.2921348314608,27,62,0.018477484384615214,0.007994700098360688,836.074074074074,1132.0967741935483,0
403,201.5s - 202.0s,78,0.006381816371794872,1038.8461538461538,14,64,0.03595497169230883,0.0077054176190476,514.0,1153.65625,0
404,202.0s - 202.5s,83,0.0059659092771084336,984.2650602409639,18,65,0.027092449999999497,0.0075273403749998025,564.8333333333334,1100.4153846153847,0
405,202.5s - 203.0s,86,0.005800311348837208,969.9418604651163,26,60,0.01720153443999948,0.008170610694915051,590.3461538461538,1134.4333333333334,0
406,203.0s - 203.5s,115,0.004398617730434783,1127.0521739130436,60,55,0.007557218627118897,0.00900812164814816,1128.8333333333333,1125.1090909090908,0
407,203.5s - 204.0s,154,0.0032185301363636346,1182.974025974026,94,60,0.005220604139784887,0.008047733576270989,1228.0744680851064,1112.3166666666666,0
408,204.0s - 204.5s,153,0.003271495967320261,1160.248366013072,98,55,0.0050601661237112345,0.009092883685185514,1202.1326530612246,1085.6181818181817,0
